Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|Field=Capacity~String~Capacity~100|Field=Frequancy~String~Frequancy~100|Field=Frequency~String~Frequency~100|Field=Manufacturer~String~Manufacturer~100|Field=Name~String~Name~100|Field=P/N~String~P/N~100|Field=Package~String~Package~100|Field=Tolerance~String~Tolerance~100|Field=Value~String~Value~100|Field=Voltage~String~Voltage~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~Kintex_SDR.PrjPcb|ReportField=ProjectFullPath~D:\Altium_Projects\Kintex_SDR\Kintex_SDR.PrjPcb|ReportField=Title~Bill of Materials For Project [Kintex_SDR.PrjPcb] (PCB Document : MotherBoard.PcbDoc)|ReportField=TotalQuantity~145|ReportField=ReportTime~17:35:36|ReportField=ReportDate~27.01.2017|ReportField=ReportDateTime~27.01.2017 17:35:36|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~27.01.2017|ReportField=CurrentTime~17:26:48|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Altium_Projects\Kintex_SDR\Clocking.SchDoc|ReportField=DocumentName~Clocking.SchDoc|ReportField=DocumentNumber~ПЛАС.ХХХХХХ.ХХХ ХХ|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~27.01.2017|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.95:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~Kintex_SDR.PrjPcb|ReportField=Revision~|ReportField=Rule~Undefined|ReportField=SheetNumber~{}|ReportField=SheetTotal~{}|ReportField=Time~|ReportField=Title~{Наименование}|ReportField=DocumentType~{Документ}|ReportField=DocumentType1str~|ReportField=DocumentType2str~|ReportField=EngineerName~|ReportField=Letter1Column~{}|ReportField=Letter2Column~{}|ReportField=Letter3Column~{}|ReportField=Mass~{М.}|ReportField=NormInspection~{Н.контр.}|ReportField=ProcessInspection~{Т.контр.}|ReportField=Scale~{Мш.}|ReportField=Title1str~|ReportField=Title2str~|ReportField=DataSourceFileName~Kintex_SDR.PrjPcb|ReportField=DataSourceFullPath~D:\Altium_Projects\Kintex_SDR\Kintex_SDR.PrjPcb|ReportField=PCBDataSourceFileName~MotherBoard.PcbDoc|ReportField=PCBDataSourceFullPath~D:\Altium_Projects\Kintex_SDR\MotherBoard.PcbDoc
1|CAP|SMD Capacitor|C1, C6, C7, C8, C9, C12, C16, C21, C30, C32|C0402|CAP|10||||Murata||GRM155R71H104KE14J, GRM155R71H104KE14J, GRM155R71H103JA88D, GRM155R71H103JA88D, GRM155R71H104KE14J, GRM155R71H822KA88D, GRM1555C1H131JA01D, GRM155R71H104KE14J, GRM155R71H822KA88D, GRM1555C1H510JA01D||10%, 10%, 5%, 5%, 10%, 10%, 5%, 10%, 10%, 5%|0.1uF, 0.1uF, 0.01uF, 0.01uF, 0.1uF, 8.2nF, 130pF, 0.1uF, 8.2nF, 51pF|50V
2|CAP uF|SMD Capacitor|C2, C3, C4, C5, C11, C17, C20, C25, C28, C29|C1210|CAP uF|10||||Murata||GRM32ER71H106KA12L, GRM32ER71H106KA12L, GRM32ER71H106KA12L, GRM32ER71H106KA12L, GRM32ER71H106KA12L, GRM32ER71A476KE15L, GRM32ER71A476KE15L, GRM32ER71E226KE15L, GRM32ER71A476KE15L, GRM32ER71A476KE15L||10%|10uF, 10uF, 10uF, 10uF, 10uF, 47uF, 47uF, 22uF, 47uF, 47uF|50V, 50V, 50V, 50V, 50V, 10V, 10V, 25V, 10V, 10V
3|CAP uF|SMD Capacitor|C10, C14, C15, C22, C23, C24|C0805|CAP uF|6||||Murata||GRM21BR61H475KE51L, GRM21BR71A106KE51L, GRM21BR71A106KE51L, GRM21BR61H475KE51L, GRM21BR71A106KE51L, GRM21BR71A106KE51L||20%, 10%, 10%, 20%, 10%, 10%|4.7uF, 10uF, 10uF, 4.7uF, 10uF, 10uF|50V, 10V, 10V, 50V, 10V, 10V
4|CAP|SMD Capacitor|C13, C18, C19, C26, C27, C31|C0603|CAP|6||||Murata||GRM1885C1H472JA01D, GRM188R71A474KA61D, GRM188R71A474KA61D, GRM188R71A474KA61D, GRM188R71A474KA61D, GRM1885C1H242JA01D||5%, 10%, 10%, 10%, 10%, 5%|4.7nF, 0.47uF, 0.47uF, 0.47uF, 0.47uF, 2.4nF|50V, 10V, 10V, 10V, 10V, 50V
5|XC7K160T-2FBG484C|Xilinx 7-Series FPGA|D1|FBG484|XC7K160T-2FBG484C|1||||Xilinx|XC7K160T-2FBG484C||484 Ball FBG|||
6|AD5663|Dual 12-/14-/16-Bit nanoDAC|D2, D3|MSOP-10|AD56x3R|2||||Analog Device|AD5663RBRMZ-5||MSOP-10|||2.7 V to 5.5 V
7|AD7922|1 MSPS, 10-/12-Bit ADC|D4, D5|MSOP-8|AD79x2|2||||Analog Device|AD7922ARM||MSOP-8|||2.35 V to 5.25 V
8|TPS26600|Industrial eFuse|D6, D7|R-PDSO-G16|TPS26600|2|||||TPS26600||16-Pin SOIC PowerPAD|||60V
9|TPS54332|Step-Down DC-DC Converter|D8, D11|R-PDSO-G8|TPS54332|2|||1MHz||TPS54332||8-Pin SOIC PowerPAD|||
10|LM26420X|Synchronous  DC-DC Converter|D9, D10|HTSSOP-20|LM26420X|2|||2.2MHz||LM26420X||HTSSOP 20|||
11|24LC024|I2C EEPROM|D12|SOIC_SN8|24LC024|1|2kbit|||Microchip|24LC024||SOIC-8|||2.5-5.5V
